EIN,ObjectId,FormType,TaxPeriod,TaxYear,OrganizationName,TotalAssetsBkEOY,TotalLiabilitiesBkEOY
461214812,202302099349300710,990,2022-12-31,2022,GLOUCESTER REVOLVING LOAN FUND INC,262669,0
521582214,202503099349300610,990,2024-12-31,2024,Capitol Hill Community Foundation,2504432,15000
521582214,202402199349300815,990,2023-12-31,2023,Capitol Hill Community Foundation,2582615,14000
521582214,202312149349300721,990,2022-12-31,2022,Capitol Hill Community Foundation,2181656,14709
621823596,202512099349300271,990,2024-12-31,2024,SOUTHEAST COMMUNITY CAPITAL CORPORATION D/B/A PATHWAY LENDING,368094372,271186903
621823596,202401859349300810,990,2023-12-31,2023,SOUTHEAST COMMUNITY CAPITAL CORPORATION D/B/A PATHWAY LENDING,336197905,274625168
621823596,202311319349302296,990,2022-12-31,2022,SOUTHEAST COMMUNITY CAPITAL CORPORATION D/B/A PATHWAY LENDING,283577378,235281850
825171856,202033189349310318,990,2019-12-31,2019,THE GOVERNANCE PROJECT,478271,0
825171856,202033189349309948,990,2018-12-31,2018,THE GOVERNANCE PROJECT,581409,0
852873226,202533049349303103,990,2024-12-31,2024,ACCESS COMMUNITY CAPITAL,10499568,5000040
852873226,202413059349301671,990,2023-12-31,2023,ACCESS COMMUNITY CAPITAL,7460108,1290217
852873226,202423059349301817,990,2022-12-31,2022,ACCESS COMMUNITY CAPITAL,6777441,134405
853193705,202521149349301632,990,2024-12-31,2024,SURE CDFI,338362,0
853193705,202430919349300453,990,2023-12-31,2023,SURE CDFI,116958,0
862366457,202533509349301218,990,2025-06-30,2024,IOWA CENTER LOAN FUND,2064442,2064442
862366457,202520159349301377,990,2024-06-30,2023,IOWA CENTER LOAN FUND,1085519,1085519
010764462,202630929349300213,990,2025-06-30,2024,HOUSING TRUST FUND OF JOHNSON COUNTY,11842060,607461
010764462,202521199349301117,990,2024-06-30,2023,HOUSING TRUST FUND OF JOHNSON COUNTY,10768224,607539
010764462,202401349349301915,990,2023-06-30,2022,HOUSING TRUST FUND OF JOHNSON COUNTY,9333036,207624
133544227,202511269349303966,990,2024-06-30,2023,COMMUNITY CAPITAL NEW YORK INC,15465607,7408211
133544227,202401349349308975,990,2023-06-30,2022,COMMUNITY CAPITAL NEW YORK INC,16189628,8104847
133544227,202301329349304400,990,2022-06-30,2021,COMMUNITY CAPITAL NEW YORK INC,14769647,7536633
141605106,202523219349311652,990,2024-12-31,2024,CAPITAL DISTRICT GAY AND LESBIAN COMMUNITY COUNCIL INC,288884,164364
141605106,202432609349301403,990,2023-12-31,2023,CAPITAL DISTRICT GAY AND LESBIAN COMMUNITY COUNCIL INC,233193,151772
141605106,202313199349305221,990,2022-12-31,2022,CAPITAL DISTRICT GAY AND LESBIAN COMMUNITY COUNCIL INC,217685,151354
232461494,202231369349307333,990,2021-06-30,2020,LEHIGH & NORTHAMPTON COUNTY REVOLVING LOAN FUND,522576,1129
232461494,202101309349301470,990,2020-06-30,2019,LEHIGH & NORTHAMPTON COUNTY REVOLVING LOAN FUND,523438,756
233079170,202500459349301215,990,2024-06-30,2023,RISING TIDE COMMUNITY LOAN FUND,6222255,4101977
233079170,202421219349300017,990,2023-06-30,2022,RISING TIDE COMMUNITY LOAN FUND,6802134,4305948
233079170,202301589349300900,990,2022-06-30,2021,RISING TIDE COMMUNITY LOAN FUND,5943913,3591127
251698286,201720339349301422,990,2016-06-30,2015,Butler Area School District Student Loan Fund,0,0
251698286,201640429349300629,990,2015-06-30,2014,Butler Area School District Student Loan Fund,526785,0
251698286,201520429349300312,990,2014-06-30,2013,,525627,0
311021735,202630829349300028,990,2025-09-30,2024,COMMUNITY CAPITAL DEVELOPMENT CORP,1450141,925684
311021735,202500839349300710,990,2024-09-30,2023,COMMUNITY CAPITAL DEVELOPMENT CORP,1273663,876441
311021735,202410799349301451,990,2023-09-30,2022,COMMUNITY CAPITAL DEVELOPMENT CORP,1125381,842770
356016330,202531149349301408,990,2024-12-31,2024,GREENLAWN PERPETUAL CARE CEMETERY TRUST,706275,0
356016330,202421239349301932,990,2023-12-31,2023,GREENLAWN PERPETUAL CARE CEMETERY TRUST,715154,0
356016330,202341359349303154,990,2022-12-31,2022,GREENLAWN PERPETUAL CARE CEMETERY TRUST,711510,0
371548658,202523159349304937,990,2024-12-31,2024,NORTHERN SHORES COMMUNITY DEVELOPMENT,1690793,122801
371548658,202413049349301966,990,2023-12-31,2023,NORTHERN SHORES COMMUNITY DEVELOPMENT,1313725,102511
371548658,202323199349300302,990,2022-12-31,2022,NORTHERN SHORES COMMUNITY DEVELOPMENT,1439114,74954
463140210,202531399349300433,990,2024-06-30,2023,FINANTA COMMUNITY DEVELOPMENT CORPORATION,26157089,13674484
521356557,202413179349307146,990,2023-12-31,2023,COUNCIL OF DEVELOPMENT FINANCE AGEN,1802095,1332141
521356557,202303189349303140,990,2022-12-31,2022,COUNCIL OF DEVELOPMENT FINANCE AGENCIES INC,1861330,1395937
521356557,202233009349301768,990,2021-12-31,2021,COUNCIL OF DEVELOPMENT FINANCE AGENCIES INC,1148923,631383
550820866,202523189349314737,990,2024-12-31,2024,NORTHTOWN HOUSING FINANCE CORPORATION,9294566,8791950
550820866,202423169349305532,990,2023-12-31,2023,NORTHTOWN HOUSING FINANCE CORPORATION,9518193,8737251
550820866,202313189349315431,990,2022-12-31,2022,NORTHTOWN HOUSING FINANCE CORPORATION,9717051,8653078
731444324,202503179349304740,990,2024-12-31,2024,TULSA COMMUNITY LOAN FUND INC,26377,1095
731444324,202413199349308156,990,2023-12-31,2023,TULSA COMMUNITY LOAN FUND INC,26377,1080
731444324,202343149349303199,990,2022-12-31,2022,TULSA COMMUNITY LOAN FUND INC,26377,1065
831499750,202631129349302068,990,2025-12-31,2025,Native Finance Development Corporation,317374,259271
831499750,202501229349301135,990,2024-12-31,2024,Native Finance Development Corporation,131534,84555
921312690,202503199349302505,990,2024-12-31,2024,MUNFORDVILLE AMISH LOAN FUND MUNFORDVILLE AMISH LOAN FUND INC,1133038,1013876
050259090,202532269349302038,990,2024-09-30,2023,Capital City Community Centers Inc,1537940,290312
050259090,202432279349301823,990,2023-09-30,2022,Capital City Community Centers Inc,1754418,651379
050259090,202332239349300643,990,2022-09-30,2021,Capital City Community Centers Inc,1017184,232945
066071060,202531059349303208,990,2024-12-31,2024,GREENWICH HIGH SCHOOL STUDENT LOAN FUND INC,132599,0
066071060,202441359349308879,990,2023-12-31,2023,GREENWICH HIGH SCHOOL STUDENT LOAN FUND INC,106724,0
066071060,202223199349310782,990,2021-12-31,2021,GREENWICH HIGH SCHOOL STUDENT LOAN FUND INC,1169910,0
261114298,202412329349301036,990,2023-12-31,2023,LANDMARKS COMMUNITY CAPITAL CORPORATION,8769588,743346
261114298,202311729349300416,990,2022-12-31,2022,LANDMARKS COMMUNITY CAPITAL CORPORATION,7909896,569879
261114298,202203009349301630,990,2021-12-31,2021,LANDMARKS COMMUNITY CAPITAL CORPORATION,6840052,1580471
363718992,202513029349301101,990,2024-12-31,2024,CHICAGO LOW INCOME HOUSING TRUST FUND,75458088,6324988
363718992,202433159349300303,990,2023-12-31,2023,CHICAGO LOW INCOME HOUSING TRUST FUND,76772845,2897633
363718992,202333069349300348,990,2022-12-31,2022,CHICAGO LOW INCOME HOUSING TRUST FUND,78317234,22713284
453191747,202541279349303129,990,2024-12-31,2024,Housing Trust Fund Ventura County,23607119,8778822
453191747,202421649349301952,990,2023-12-31,2023,Housing Trust Fund Ventura County,20906760,6256749
453191747,202321449349300807,990,2022-12-31,2022,Housing Trust Fund Ventura County,17293082,6001886
593392460,202230279349300793,990,2021-09-30,2020,BUSINESS LOAN FUND OF THE PALM BEACHES INC,74883,299356
593392460,202230279349300793,990,2021-09-30,2020,BUSINESS LOAN FUND OF THE PALM BEACHES INC,74883,299356
593392460,202230079349302563,990,2020-09-30,2019,BUSINESS LOAN FUND OF THE PALM BEACHES INC,429662,299628
811047132,202600829349300835,990,2025-12-31,2025,IPAI COMMUNITY LOAN FUND,1395698,338030
811047132,202531189349300038,990,2024-12-31,2024,IPAI COMMUNITY LOAN FUND,1051762,16338
811047132,202431169349301608,990,2023-12-31,2023,IPAI COMMUNITY LOAN FUND,1112187,94175
811528202,202122179349300507,990,2020-12-31,2020,NON PROFIT COMMUNITY CAPITAL CORP,1250403,395886
811528202,202102179349300605,990,2019-12-31,2019,NON PROFIT COMMUNITY CAPITAL CORP,1430184,386737
811528202,201911359349301356,990,2018-12-31,2018,NON PROFIT COMMUNITY CAPITAL CORP,1365051,213692
830765193,202511359349303831,990,2024-06-30,2023,HEART OF IOWA REGIONAL HOUSING TRUST FUND,152730,0
830765193,202421369349308712,990,2023-06-30,2022,HEART OF IOWA REGIONAL HOUSING TRUST FUND,0,0
830765193,202331359349308678,990,2022-06-30,2021,HEART OF IOWA REGIONAL HOUSING TRUST FUND,126350,0
843804891,202510699349300766,990,2024-06-30,2023,First Community Capital Inc,1316731,760218
843804891,202431369349318953,990,2023-06-30,2022,First Community Capital Inc,759538,290250
843804891,202331529349301503,990,2022-06-30,2021,FIRST COMMUNITY CAPITAL INC,435550,226050
845065633,202501329349304890,990,2024-12-31,2024,CAPITAL COMMUNITY ATHLETICS INCORPORATED,95100,0
850377424,202513179349312121,990,2024-12-31,2024,NEW MEXICO COMMUNITY DEVELOPMENT LOAN FUND INC,42466162,41941681
850377424,202403069349301960,990,2023-12-31,2023,NEW MEXICO COMMUNITY DEVELOPMENT LOAN FUND INC,42531939,41292730
850377424,202302409349301555,990,2022-12-31,2022,NEW MEXICO COMMUNITY DEVELOPMENT LOAN FUND INC,38252004,36668182
850614678,202521259349300687,990,2024-12-31,2024,CDFI Friendly of South Bend Inc,991335,52904
850614678,202431229349302508,990,2023-12-31,2023,CDFI Friendly of South Bend Inc,914376,1788
850614678,202341329349302184,990,2022-12-31,2022,CDFI Friendly of South Bend Inc,362537,1601
861763469,202540699349300129,990,2024-06-30,2023,APPALACHIAN ASSISTIVE TECHNOLOGY LOAN FUND INC,3155395,61656
861763469,202303399349300720,990,2023-06-30,2022,APPALACHIAN ASSISTIVE TECHNOLOGY LOAN FUND INC,2933750,216330
861763469,202310529349300406,990,2022-06-30,2021,APPALACHIAN ASSISTIVE TECHNOLOGY LOAN FUND INC,1654838,4575
911951777,202600499349300400,990,2025-09-30,2024,WORKING SOLUTIONS CDFI,23135892,14103238
911951777,202510499349301676,990,2024-09-30,2023,WORKING SOLUTIONS CDFI,21389709,11811606
911951777,202400459349302965,990,2023-09-30,2022,WORKING SOLUTIONS CDFI,18529952,9120196
931009470,202533469349300313,990,2025-06-30,2024,CAPITAL COMMUNITY TELEVISION INC,814320,100750
931009470,202540699349301384,990,2024-06-30,2023,CAPITAL COMMUNITY TELEVISION INC,694950,83260
931009470,202400909349300800,990,2023-06-30,2022,CAPITAL COMMUNITY TELEVISION INC,504989,39945
043247724,201633199349306728,990,2016-06-30,2015,GLOUCESTER REVOLVING LOAN FUND INC,140978,6312
043247724,201630469349302318,990,2015-06-30,2014,GLOUCESTER REVOLVING LOAN FUND INC,144001,6312
043247724,201521349349306012,990,2014-06-30,2013,,146654,6312
043642655,202541759349300459,990,2024-12-31,2024,COMMUNITY CAPITAL OF VERMONT,3642983,1161208
043642655,202422139349300217,990,2023-12-31,2023,COMMUNITY CAPITAL OF VERMONT,3586734,1078560
043642655,202321729349300447,990,2022-12-31,2022,COMMUNITY CAPITAL OF VERMONT,3944821,1325939
273511351,202542899349300814,990,2024-12-31,2024,POTTAWATTAMIE COUNTY HOUSING TRUST FUND INC,164452,0
273511351,202423199349302637,990,2023-12-31,2023,POTTAWATTAMIE COUNTY HOUSING TRUST FUND INC,145091,0
273511351,202333039349302098,990,2022-12-31,2022,POTTAWATTAMIE COUNTY HOUSING TRUST FUND INC,144031,0
300089379,202543179349309189,990,2024-12-31,2024,Housing Trust Fund of Northern Virginia (dba Homeaid Northern Virginia),2150724,329108
300089379,202423119349301517,990,2023-12-31,2023,Housing Trust Fund of Northern Virginia (dba Homeaid Northern Virginia),2091097,68102
300089379,202342569349300744,990,2022-12-31,2022,Housing Trust Fund of Northern Virginia (dba Homeaid National Capital Region),1939736,70853
300607412,202533169349303163,990,2024-12-31,2024,GLOBAL CLEARINGHOUSE FOR DEVELOPMENT FINANCE INC,1368,0
300607412,202433169349302723,990,2023-12-31,2023,GLOBAL CLEARINGHOUSE FOR DEVELOPMENT FINANCE INC,8474,2500
300607412,202313149349303561,990,2022-12-31,2022,GLOBAL CLEARINGHOUSE FOR DEVELOPMENT FINANCE INC,20959,410
466018786,202433129349302373,990,2023-12-31,2023,Ezra L Baker Educational Loan Fund,340134,211
621572698,201903529349301120,990,2019-06-30,2018,CHATTANOOGA COMMUNITY DEVELOPMENT FINANCIAL INSTITUTION INC,0,0
621572698,201822839349301167,990,2018-06-30,2017,CHATTANOOGA COMMUNITY DEVELOPMENT FINANCIAL INSTITUTION INC,1724876,4018
621572698,201840109349301004,990,2017-06-30,2016,CHATTANOOGA COMMUNITY DEVELOPMENT FINANCIAL INSTITUTION INC,1716855,20255
742884026,201631329349301513,990,2015-12-31,2015,TEXAS HOUSING FINANCE CORPORATION SPECIAL,85977,0
833477675,202522769349301312,990,2024-12-31,2024,First Capital Community Transport Partners dba First Capital EMS,2694433,831540
833477675,202443199349303599,990,2023-12-31,2023,First Capital Community Transport Partners dba First Capital EMS,2379233,639798
833477675,202333189349318098,990,2022-12-31,2022,First Capital Community Transport Partners dba First Capital EMS,635275,108095
841002978,202523399349300722,990,2025-08-31,2024,Capitol Hill Community Services,126782,637
841002978,202511789349300226,990,2024-08-31,2023,Capitol Hill Community Services,192418,13899
841002978,202440169349302239,990,2023-08-31,2022,Capitol Hill Community Services,167951,575
922468765,202503219349323735,990,2024-12-31,2024,CDFI Friendly Tulsa Inc,359243,0
946083198,201902319349300610,990,2019-06-30,2018,Ensign Joseph Sherwood Mayo Demolay Loan Fund,4677039,0
946083198,201822719349300522,990,2018-06-30,2017,Ensign Joseph Sherwood Mayo Demolay Loan Fund,4572639,0
946083198,201732289349300613,990,2017-06-30,2016,Ensign Joseph Sherwood Mayo Demolay Loan Fund,4434968,0
030315075,202513149349300536,990,2024-12-31,2024,EVERNORTH LOAN FUND INC,28141496,4436816
030315075,202443139349300014,990,2023-12-31,2023,EVERNORTH LOAN FUND INC,17211570,2483602
030315075,202323189349307007,990,2022-12-31,2022,EVERNORTH LOAN FUND INC,16980601,2867015
043051661,201832329349300813,990,2017-12-31,2017,TRI-COMMUNITY YMCA CAPITAL FACILITIES ENDOWMENT FUND,530436,0
043051661,201742199349300119,990,2016-12-31,2016,TRI-COMMUNITY YMCA CAPITAL FACILITIES ENDOWMENT FUND,538569,0
043051661,201622239349300122,990,2015-12-31,2015,TRI-COMMUNITY YMCA CAPITAL FACILITIES ENDOWMENT FUND,517062,0
134243257,202542819349301779,990,2024-12-31,2024,SAN LUIS OBISPO COUNTY HOUSING TRUST FUND,25690313,5419877
134243257,202443059349300704,990,2023-12-31,2023,SAN LUIS OBISPO COUNTY HOUSING TRUST FUND,21684022,9020667
134243257,202341849349301109,990,2022-12-31,2022,SAN LUIS OBISPO COUNTY HOUSING TRUST FUND,19431798,7582588
226052901,202412639349301031,990,2024-06-30,2023,CHARLES T KING STUDENT LOAN FUND,1633414,0
226052901,202312589349301866,990,2023-06-30,2022,CHARLES T KING STUDENT LOAN FUND,1593100,0
226052901,202242429349300009,990,2022-06-30,2021,CHARLES T KING STUDENT LOAN FUND,1575194,0
272411030,202541689349300049,990,2024-12-31,2024,COMMUNITY DEVELOPMENT FINANCE ALLIANCE,40112222,38362905
272411030,202421909349301042,990,2023-12-31,2023,COMMUNITY DEVELOPMENT FINANCE ALLIANCE,48734905,46948335
272411030,202312209349301256,990,2022-12-31,2022,COMMUNITY DEVELOPMENT FINANCE ALLIANCE,50189963,48410298
341402177,201412759349300001,990,2014-06-30,2013,,712176,15372
341402177,201303019349301105,990,2013-06-30,2012,Stark Development Board Finance Corp,1194529,7602
341402177,201213129349301161,990,2012-06-30,2011,Stark Development Board Finance Corp,1203055,-734
341517534,201903199349317390,990,2018-12-31,2018,COMMON WEALTH REVOLVING LOAN FUND MESSING,515747,70331
341517534,201833189349308583,990,2017-12-31,2017,COMMON WEALTH REVOLVING LOAN FUND MESSING,423584,78420
341517534,201713079349300746,990,2016-12-31,2016,COMMON WEALTH REVOLVING LOAN FUND MESSING,738070,422773
382776652,202513039349301451,990,2024-12-31,2024,CAPITAL REGION COMMUNITY FOUNDATION,169299112,17824863
382776652,202423189349301912,990,2023-12-31,2023,CAPITAL REGION COMMUNITY FOUNDATION,145687599,16276739
382776652,202313189349307806,990,2022-12-31,2022,CAPITAL REGION COMMUNITY FOUNDATION,128610003,14324369
412138426,201733409349300618,990,2017-06-30,2016,NT CDFI INC,526353,526353
412138426,201700449349301620,990,2016-06-30,2015,NT CDFI INC,536230,562
412138426,201610189349300856,990,2015-06-30,2014,NT CDFI INC,348221,2410
421502371,202521349349303647,990,2024-06-30,2023,IOWA COMMUNITY CAPITAL,2692418,80426
421502371,202322449349300007,990,2023-06-30,2022,IOWA COMMUNITY CAPITAL,2399096,29330
421502371,202300449349301700,990,2022-06-30,2021,IOWA COMMUNITY CAPITAL,2471585,7622
460671912,202300589349300545,990,2022-12-31,2022,WESTERN IOWA COMMUNITY IMPROVEMENT REGIONAL HOUSING TRUST FUND,319693,68384
460671912,202230559349301603,990,2021-12-31,2021,WESTERN IOWA COMMUNITY IMPROVEMENT REGIONAL HOUSING TRUST FUND,313830,0
460671912,202100579349300235,990,2020-12-31,2020,WESTERN IOWA COMMUNITY IMPROVEMENT REGIONAL HOUSING TRUST FUND,331735,4163
462815132,202522879349300122,990,2024-12-31,2024,APPALACHIAN COMMUNITY CAPITAL CORPORATION,543339761,538189262
462815132,202442609349300749,990,2023-12-31,2023,APPALACHIAN COMMUNITY CAPITAL CORPORATION,29141159,24164965
462815132,202341949349300744,990,2022-12-31,2022,APPALACHIAN COMMUNITY CAPITAL CORPORATION,28945608,24157185
473818078,202131619349300233,990,2020-07-31,2020,CONTRACTOR LOAN FUND INC,0,0
473818078,202033019349301263,990,2019-12-31,2019,CONTRACTOR LOAN FUND INC,2223383,4231406
473818078,201912349349301036,990,2018-12-31,2018,CONTRACTOR LOAN FUND INC,3307923,5031088
522332161,202511289349301106,990,2024-06-30,2023,COMMUNITY CAPITAL CORPORATION,22833078,4310106
522332161,202441279349301919,990,2023-06-30,2022,COMMUNITY CAPITAL CORPORATION,23038269,5227980
522332161,202331309349301993,990,2022-06-30,2021,COMMUNITY CAPITAL CORPORATION,22525452,5225826
593270584,202511359349302706,990,2024-06-30,2023,FLORIDA DEVELOPMENT FINANCE CORPORATION,12338198,240166
593270584,202421359349306572,990,2023-06-30,2022,FLORIDA DEVELOPMENT FINANCE CORPORATION,8374240,268883
593270584,202301889349300035,990,2022-06-30,2021,FLORIDA DEVELOPMENT FINANCE CORPORATION,7090461,386258
680488549,202522309349300852,990,2024-12-31,2024,TEXAS COMMUNITY CAPITAL INC,1188402,821973
680488549,202401929349300825,990,2023-12-31,2023,TEXAS COMMUNITY CAPITAL INC,563494,188015
680488549,202343199349322239,990,2022-12-31,2022,TEXAS COMMUNITY CAPITAL INC,617042,196115
820523355,202600759349301630,990,2025-09-30,2024,NEWWEST COMMUNITY CAPITAL INC,69950978,53897729
820523355,202541609349301134,990,2024-09-30,2023,NEWWEST COMMUNITY CAPITAL INC,55759686,41340719
820523355,202441649349301414,990,2023-09-30,2022,NEWWEST COMMUNITY CAPITAL INC,45492026,31716715
824363742,202533189349303983,990,2024-12-31,2024,CLT Interboro CLT Housing Development Fund Corporation,1340476,29825
824363742,202423209349311362,990,2023-12-31,2023,CLT Interboro CLT Housing Development Fund Corporation,1372609,80525
824363742,202343199349324069,990,2022-12-31,2022,CLT Interboro CLT Housing Development Fund Corporation,1382252,49581
842164033,202443119349302704,990,2023-12-31,2023,SANDHURST COMMUNITY CAPITAL,5980711,5846466
842164033,202343189349306449,990,2022-12-31,2022,SANDHURST COMMUNITY CAPITAL,10492399,10399704
842164033,202242419349301159,990,2021-12-31,2021,SANDHURST COMMUNITY CAPITAL,9287202,9217071
870495534,202532239349302703,990,2024-09-30,2023,UTAH MICROENTERPRISE LOAN FUND,2697693,2574332
870495534,202422269349300047,990,2023-09-30,2022,UTAH MICROENTERPRISE LOAN FUND,3991904,3276458
870495534,202311659349301101,990,2022-09-30,2021,UTAH MICROENTERPRISE LOAN FUND,4809581,3568850
941201196,202522979349301757,990,2024-12-31,2024,Community Link Capital Region,1906490,1449049
941201196,202443039349302614,990,2023-12-31,2023,COMMUNITY LINK CAPITAL REGION,1339683,982574
941201196,202343189349308434,990,2022-12-31,2022,COMMUNITY LINK CAPITAL REGION,999388,828889
042588840,202503009349300420,990,2025-06-30,2024,CAPE ANN COMMERCIAL FISHERMEN'S LOAN FUND INC,98728,19471
042588840,202423059349302702,990,2024-06-30,2023,CAPE ANN COMMERCIAL FISHERMEN'S LOAN FUND INC,97742,15871
042588840,202303189349306335,990,2023-06-30,2022,CAPE ANN COMMERCIAL FISHERMEN'S LOAN FUND INC,98440,15871
061423598,202500279349300720,990,2024-06-30,2023,HARTFORD COMMUNITY LOAN FUND INC,26158647,16053303
061423598,202421009349300422,990,2023-06-30,2022,HARTFORD COMMUNITY LOAN FUND INC,17468701,8058416
061423598,202340939349300109,990,2022-06-30,2021,HARTFORD COMMUNITY LOAN FUND INC,15357554,6025004
141505623,202402969349301300,990,2023-12-31,2023,THE COMMUNITY FOUNDATION FOR THE GREATER CAPITAL REGION INC,110463310,4605129
141505623,202323079349301992,990,2022-12-31,2022,THE COMMUNITY FOUNDATION FOR THE GREATER CAPITAL REGION INC,100799889,3733297
141505623,202223189349304117,990,2021-12-31,2021,THE COMMUNITY FOUNDATION FOR THE GREATER CAPITAL REGION INC,120227075,4434543
222864900,202621049349302252,990,2025-12-31,2025,VERMONT COMMUNITY LOAN FUND,60301600,41934861
222864900,202531129349301413,990,2024-12-31,2024,VERMONT COMMUNITY LOAN FUND,54034638,35873807
222864900,202441109349300649,990,2023-12-31,2023,VERMONT COMMUNITY LOAN FUND,52714194,35096273
222889913,201502179349301170,990,2014-12-31,2014,THE GREATER NEW HAVEN COMMUNITY LOAN FUND INC,11840500,8916757
222889913,201442179349300424,990,2013-12-31,2013,,11268615,8746680
222889913,201341349349304264,990,2012-12-31,2012,THE GREATER NEW HAVEN COMMUNITY LOAN FUND INC,9340456,7793146
274573866,202523219349303157,990,2024-12-31,2024,NATIVE360 LOAN FUND INC,14595940,3746068
274573866,202520899349300107,990,2023-12-31,2023,NATIVE360 LOAN FUND INC,10944660,3548839
274573866,202423169349302152,990,2023-12-31,2023,NATIVE360 LOAN FUND INC,10944660,3548839
311092286,202232499349300428,990,2022-03-31,2021,ACCESS BUSINESS FINANCE INC,0,0
311092286,202212279349304991,990,2021-09-30,2020,ACCESS BUSINESS FINANCE INC,358948,79872
311092286,202112099349300911,990,2020-09-30,2019,ACCESS BUSINESS FINANCE INC,377303,80780
366109824,202531899349301108,990,2024-08-31,2023,RESEARCH INSTITUTE FOR HOUSING AMERICA TRUST FUND,4484065,62000
366109824,202421939349301547,990,2023-08-31,2022,RESEARCH INSTITUTE FOR HOUSING AMERICA TRUST FUND,4180244,40000
366109824,202341929349301629,990,2022-08-31,2021,RESEARCH INSTITUTE FOR HOUSING AMERICA TRUST FUND,4160058,25500
452534204,202241289349300619,990,2021-12-31,2021,LOA SCHOLARSHIP FUND,476499,641
452534204,202112819349300846,990,2020-12-31,2020,LOA SCHOLARSHIP FUND,45496,10424
470796719,202500989349300305,990,2024-08-31,2023,CENTER FOR RURAL AFFAIRS COMMUNITY CAPITAL,14821293,5811520
470796719,202401099349300110,990,2023-08-31,2022,CENTER FOR RURAL AFFAIRS COMMUNITY CAPITAL,13936199,6033141
470796719,202340519349300889,990,2022-08-31,2021,CENTER FOR RURAL AFFAIRS COMMUNITY CAPITAL,12206202,4285870
471924613,202600279349300430,990,2025-09-30,2024,SOUTHEAST FLORDIA COMMUNITY DEVELOPMENT FUND INC,1725270,1500000
471924613,202520179349300712,990,2024-09-30,2023,SOUTHEAST FLORDIA COMMUNITY DEVELOPMENT FUND INC,1664661,1500310
471924613,202440469349300824,990,2023-09-30,2022,SOUTHEAST FLORDIA COMMUNITY DEVELOPMENT FUND INC,1594809,1500073
473526004,202523219349302277,990,2024-12-31,2024,NATIVE CDFI NETWORK INC,405395396,400168764
473526004,202423169349302252,990,2023-12-31,2023,NATIVE CDFI NETWORK INC,2391608,72125
473526004,202333049349300033,990,2022-12-31,2022,NATIVE CDFI NETWORK INC,1851816,25401
520192004,202442269349301969,990,2023-12-31,2023,ENTERPRISE COMMUNITY LOAN FUND INC,480806615,346098780
520192004,202302439349300525,990,2022-12-31,2022,ENTERPRISE COMMUNITY LOAN FUND INC,426085407,306594252
520192004,202202919349300525,990,2021-12-31,2021,ENTERPRISE COMMUNITY LOAN FUND INC,332804742,229618155
570842766,202521649349300642,990,2024-07-31,2023,SUMMERVILLE GREENWAVE BAND BOOSTER CLUB,34231,0
570842766,202200339349301325,990,2021-07-31,2020,SUMMERVILLE GREENWAVE BAND BOOSTER CLUB,6604,0
570842766,202200339349301325,990,2021-07-31,2020,SUMMERVILLE GREENWAVE BAND BOOSTER CLUB,6604,0
626047101,202640909349301504,990,2025-06-30,2024,ROTARY FOUNDATION OF KNOXVILLE,2018887,124696
626047101,202520529349301112,990,2024-06-30,2023,ROTARY FOUNDATION OF KNOXVILLE,1806533,160889
626047101,202420859349300802,990,2023-06-30,2022,ROTARY FOUNDATION OF KNOXVILLE,1655956,166220
753064424,202600659349300520,990,2025-06-30,2024,CHF REVOLVING LOAN FUND,3111569,19437
753064424,202520169349301627,990,2024-06-30,2023,CHF REVOLVING LOAN FUND,3073109,15841
753064424,202313559349300616,990,2023-06-30,2022,CHF REVOLVING LOAN FUND,3019014,18235
756067977,202521579349301242,990,2024-12-31,2024,ROTARY CLUB STUDENT LOAN & SCHOLARSHIP FUND INC,413844,0
756067977,202421289349303317,990,2023-12-31,2023,ROTARY CLUB STUDENT LOAN & SCHOLARSHIP FUND INC,414213,0
756067977,202341359349309574,990,2022-12-31,2022,ROTARY CLUB STUDENT LOAN & SCHOLARSHIP FUND INC,411077,0
812179565,202503189349314155,990,2025-06-30,2024,MONTGOMERY COUNTY GREEN BANK CORPORATION,141084371,74333824
812179565,202413179349307311,990,2024-06-30,2023,MONTGOMERY COUNTY GREEN BANK CORPORATION,57473798,6862902
812179565,202313209349302211,990,2023-06-30,2022,MONTGOMERY COUNTY GREEN BANK CORPORATION,41091048,6632508
873895495,202522889349300117,990,2024-12-31,2024,STUDENT LOAN FUND INC,197645,1238
873895495,202413199349316526,990,2023-12-31,2023,Student Loan Fund Inc,208103,3420
873895495,202323199349317662,990,2022-12-31,2022,Student Loan Fund Inc,168605,38135
934965544,202501849349301465,990,2024-12-31,2024,CDFI FRIENDLY EVANSVILLE REGION INC,252882,3
943398998,202640479349301734,990,2025-09-30,2024,Community Housing Capital Inc,196700656,119756522
943398998,202500499349301605,990,2024-09-30,2023,COMMUNITY HOUSING CAPITAL INC,202947630,135383788
943398998,202430459349300248,990,2023-09-30,2022,COMMUNITY HOUSING CAPITAL INC,153800454,91488324
946109113,202502269349302315,990,2025-03-31,2024,SAN JOAQUIN MEDICAL SCHOLARSHIP LOAN FUND,1099039,896
946109113,202403539349301420,990,2024-03-31,2023,SAN JOAQUIN MEDICAL SCHOLARSHIP LOAN FUND,1069864,0
946109113,202312709349301311,990,2023-03-31,2022,SAN JOAQUIN MEDICAL SCHOLARSHIP LOAN FUND,1069358,0
