ein,name,state,ntee_code,target_ntee_match,most_recent_filing_year,matched_queries
746290661,David Greer Sr Testamentary Trust Acct No 33005 02,IL,T22,,2024,green bank
746321954,Bedford W Sipes Memorial Student Loan Fund,NV,,,2025,loan fund
752007624,City Of Dallas Housing Finance Corporation,TX,L12,,,housing finance
752772797,Marching Green Pride Band Boosters,TX,A116,,2024,green bank
752819936,Greater Dallas Jewish Community Capital Campaign For The 21 St Century,TX,,,2015,community capital
753031604,Mennonite Brethren Loan Fund,KS,X12,,,loan fund
753064424,Chf Revolving Loan Fund,CO,A11,,2025,loan fund; revolving loan fund
756056226,Burch   Settoon Student Loan Fund Trust,MO,,,2024,loan fund
756067977,Rotary Club Student Loan & Scho Fund Inc Tr Fund Of Lufkin,TX,,,2024,loan fund
756097737,Mr And Mrs J Leo Short Loan Fund C/O Team Bank,IL,,,2024,loan fund
760273039,Texas Association Of Local Housing Finance Agencies,TX,,,2023,housing finance
760573676,Covenant Community Capital Corporation,TX,S31,Y,2023,community capital
760818227,Community Capital Development Corporation,PA,S30,Y,2010,community capital
770305877,Cdf Slo County Fire Fighters Benevolent Association,CA,Z99Z,,2017,CDFI
811047132,Ipai Community Loan Fund,CA,,,2023,community loan fund; loan fund
811359987,Parish Deposit & Loan Fund Trust,SD,,,,loan fund
811528202,Non Profit Community Capital Corp,FL,T30,,2020,community capital
811532063,Dmb Community Outreach And Development Entity,TX,S20,,,community development entity
811692252,The Burner Homeplace,WV,A50,,,green bank
811809664,New York State Cdfi Coalition Inc,NY,S03,,2023,CDFI
811978497,Cass City Loan Fund,MI,X21,,,loan fund
812179565,Montgomery County Green Bank Corp,MD,C35,,2024,green bank
812232007,Fredericktown Community Loan Fund,OH,X12,,,community loan fund; loan fund
812312145,Parent Booster Usa Inc,TX,,,,green bank
812323130,Green Bay City Band Inc,WI,A6C,,2024,green bank
814094919,United South And Eastern Tribes Community Development Financial In,TN,S30,Y,,CDFI
820523355,New West Community Capital Inc,ID,S32,,2024,community capital
820775204,Capital Yacht Club Community Chest,DC,T31,,,community capital
821351621,Illinois Community Loan Fund,IL,S30,Y,,community loan fund; loan fund
822292218,Capital Area Community Action Agency Holdings Inc,FL,P20,,2024,community capital
822346079,Grow Strong Community Development Entity,TX,S20,,,community development entity
822527064,Capital Community Development Inc,GA,L20,Y,,community capital
823541909,Akiptan,SD,W60,,2023,CDFI
824122089,National Coalition For Community Capital   Nc3,NH,B60,,2024,community capital
824191640,Sanctuary At Cdf,UT,D20,,,CDFI
824363742,Clt Interboro Clt Housing Development Fund Corporation,NY,L20,Y,2023,housing trust fund
824415073,Parent Booster Usa Inc,AL,B112,,,green bank
824794211,Arbovale Cemetery Association,WV,Y50,,,green bank
825171856,Cdfa Foundation,OH,S30,Y,2019,CDFI
825204018,Tmc Community Capital,CA,S43,Y,2023,community capital
825342589,Citadel Community Capital,CA,S31,Y,,community capital
825455595,Beech Grove Comprehensive Drug Free Coalition,IN,F20,,2024,CDFI
825499895,Catholic Deposit And Loan Fund Of Northwest Pennsylvania,PA,,,,loan fund
826066650,Friedman Loan & Scholarship Fund Tr 005084,MO,,,2023,loan fund
830765193,Heart Of Iowa Regional Housing Trust Fund,IA,L81,,2024,housing trust fund
830818599,Archdiocese Of Kansas City In Kansas Deposit And Loan Fund,KS,,,,loan fund
831413109,Community Capital Of Texas,TX,L82,,,community capital
831482162,City Of Wharton Housing Finance Corporation,TX,L20,Y,,housing finance
831499750,Native Finance Development Corporation,CA,P80,,2023,development finance
831721005,Fort Warwick Foundation Inc,WV,A54,,,green bank
832202198,Catalyst Community Capital Inc,FL,S30,Y,2022,community capital
832539811,Art In Green Bank Inc,WV,A25,,,green bank
832717686,Catholic Community Deposit And Loan Fund Inc,NC,,,,community loan fund; loan fund
832793397,National Disability Cdfi Coalition,MD,,,,CDFI
833318192,Charter School Finance And Development Inc,IL,B02,,2024,development finance
833477675,First Capital Community Transport Partners,PA,E62,,2023,community capital
833608176,Capital Housing & Community Development Corporation,CA,L20,Y,,community capital
833678930,Cdfi Friendly Bloomington Inc,IN,S11,,2023,CDFI
833686614,Lighten Your Load Medical Travel Fund,ND,P52,,,loan fund
841002978,Capitol Hill Community Services,CO,K350,,2023,community capital
841054397,Region 12 Revolving Loan Fund,CO,S43,Y,2023,loan fund; revolving loan fund
841102481,Northeastern Colorado Revolving Loan Fund,CO,,,2023,loan fund; revolving loan fund
841559406,Mercy Community Capital,CO,L20,Y,2024,community capital
841704188,Community Christian Worship Center At Capital Park,DE,X20,,,community capital
841940435,Green Level High School Band Boosters Inc,NC,B11,,2023,green bank
842139522,Panama City Housing Finance Corporation,FL,L20,Y,2024,housing finance
842164033,Sandhurst Community Capital,FL,L20,Y,2023,community capital
842187752,Kinetic Capital Community Foundation Inc,MD,S01,,,community capital
842297259,Fisher Family Free Loan Fund Inc,MA,P60,,2024,loan fund
842419446,Cdf Healthcare   Cenla,LA,P20,,,CDFI
842741438,Green & Black Band Parents Booster,AZ,A12,,,green bank
842768098,Central Iowa Housing Trust Fund,IA,S12,,2024,housing trust fund
843600676,Richmond Free Loan Fund,VA,P60,,2023,loan fund
843804891,First Community Capital Inc,CA,J01,,2023,community capital
844288649,One Help One Community Capital,NJ,T11,,,community capital
844913993,Safehome Ltd,WV,P20,,,green bank
845065633,Capital Community Athletics Incorporated,CA,N60,,2024,community capital
850377424,New Mexico Community Development Loan Fund,NM,,,2023,community loan fund; loan fund
850513048,Simfoni Community Development Corporation,MO,S30,Y,,community capital
850533174,Green Hill High School Band Boosters,TN,B11,,2024,green bank
850614678,Cdfi Friendly South Bend,IN,S43,Y,2023,CDFI
850674277,Borderplex Community Capital Inc,TX,S30,Y,2023,community capital
850765390,Central Gulf Coast Cdf Freedom Schools,FL,B90,,2023,CDFI
850930285,Detroit Cdfi Coalition,MI,S20,,,CDFI
851312061,Island Mountain Community Development Financial Institution,MT,S20,,2023,community development financial institution
851996743,Navajo Community Development Financial Institution Inc Non Prof,AZ,S02,,,community development financial institution
852262960,National Capital Region Community Emergency Response Teams Consortiu,MD,M99,,,community capital
852375178,Robinhood Cdfi Enterprises,WY,S31,Y,,CDFI
852659114,African American Alliance Of Cdfi Ceos Inc,FL,S01,,2024,CDFI
852872692,Wsh Cdfi,MO,L19,,,CDFI
852873226,Access Community Capital,NV,S31,Y,2023,community capital
853101985,Capital District Community Energy Inc,NY,C01,,2023,community capital
853193705,Sure Cdfi,TX,S31,Y,2024,CDFI
853225961,Small Business Empowerment Fund Cdfi,MO,S30,Y,2023,CDFI
853830585,Upi Loan Fund,AZ,,,2023,loan fund
854038675,Capital City Cultural Community Outreach Inc,FL,A20,,,community capital
856316157,Green Family Foundation,IL,T20,,2023,green bank
860709745,Green Valley Concert Band Inc,AZ,B99,,2024,green bank
861374401,Green Band Parents Organization,OH,B94,,,green bank
861470176,Robinhood Cdfi Arizona Corp,AZ,S31,Y,,CDFI
861763469,Appalachian Assistive Technology Loan Fund Inc,PA,P80,,2023,loan fund
862031867,Greater Texas Capital Community Finance,TX,S31,Y,2023,community capital
862366457,Iowa Center Loan Fund,IA,S43,Y,2024,loan fund
863393224,Ndc Housing And Econonmic Development Corporation,OH,,,,housing loan fund; loan fund
870495534,Utah Microenterprise Loan Fund,UT,W60Z,,2023,loan fund
870678829,Utah Small Business Loan Fund,UT,J12,,2023,loan fund
870834338,Grand Finale Events Development Foundation,SC,S20,,2022,development finance
871212665,Green Chile Bike Bank,CO,P52,,,green bank
872316199,Battle Creek Community Capital,MI,P20,,,community capital
873545028,Community Capital,MI,P01,,2022,community capital
873895495,Student Loan Fund Inc,CT,B19,,2023,loan fund
873904857,Uwharrie Capital Corp Community Foundation Inc,NC,P20,,2024,community capital
874152553,Family Financial Integrity Loan Fund Inc,NJ,B90,,,loan fund
874249360,Economic Capital Organized Network Community Inc,IL,S20,,,community capital
880252758,Capital City Community Band,NV,,,,community capital
881884457,Texas Development Finance Association,TX,,,2023,development finance
882294375,360 Community Capital,DC,L19,,2023,community capital
882363232,Holy Cross Roman Catholic Church Savings And Loan Trust Fund,LA,,,,loan fund
882373309,Red Lake Community Capital,MN,W12,,,community capital
882385833,Holy Family Roman Catholic Church Savings And Loan Trust Fund,LA,,,,loan fund
882435032,Maria Immacolata Roman Catholic Church Savings And Loan Trust Fund,LA,,,,loan fund
882480712,Our Lady Of Prompt Succor Rcc Savings And Loan Trust Fund,LA,,,,loan fund
882672636,Sacred Heart Of Jesus Rcc Morgan City Savings And Loan Trust Fund,LA,,,,loan fund
882695895,St Andrew The Apostle Rcc Savings And Loan Trust Fund,LA,,,,loan fund
882717516,St Anns Roman Catholic Church Savings And Loan Trust Fund,LA,,,,loan fund
882740934,St Anthony Rcc Bayou Black Savings And Loan Trust Fund,LA,,,,loan fund
882767991,St Anthony Rcc Gheens Savings And Loan Trust Fund,LA,,,,loan fund
882788053,St Bernadette Soubirous Rcc Savings And Loan Trust Fund,LA,,,,loan fund
882811929,St Bridgets Roman Catholic Church Savings And Loan Trust Fund,LA,,,,loan fund
882833226,St Charles Borromeo Rcc Pointe Aux Chenes Savings And Loan Trust Fund,LA,,,,loan fund
882842655,Pocahontas County Composite Bike Team,WV,N60,,,green bank
882854058,St Charles Borromeo Rcc St Charles Savings And Loan Trust Fund,LA,,,,loan fund
882870357,St Eloi Roman Catholic Church Savings And Loan Trust Fund,LA,,,,loan fund
883052433,St Francis De Sales Rcc Savings And Loan Trust Fund,LA,,,,loan fund
883063333,St Genevieve Rcc Savings And Loan Trust Fund,LA,,,,loan fund
883086994,St Gregory Barbarigo Rcc Savings And Loan Trust Fund,LA,,,,loan fund
883107359,St Hilary Of Poitiers Rcc Savings And Loan Trust Fund,LA,,,,loan fund
883134730,St James Rcc Savings And Loan Trust Fund,LA,,,,loan fund
883150393,St John The Evangelist Rcc Savings And Loan Trust Fund,LA,,,,loan fund
883170651,St Josephs Rcc Chauvin Savings And Loan Trust Fund,LA,,,,loan fund
883195688,St Josephs Rcc Galliano Savings And Loan Trust Fund,LA,,,,loan fund
883218091,St Josephs Rcc Thibodaux Savings And Loan Trust Fund,LA,,,,loan fund
883238373,St Lawrence Rcc Chacahoula Savings And Loan Trust Fund,LA,,,,loan fund
883263624,St Lawrence The Martyr Rcc Kraemer Savings And Loan Trust Fund,LA,,,,loan fund
883267491,Va Cdfi Coalition Inc,VA,S30,Y,,CDFI
883279379,St Louis Rcc Savings And Loan Trust Fund,LA,,,,loan fund
883309525,St Lucy Rcc Savings And Loan Trust Fund,LA,,,,loan fund
883367258,St Thomas Aquinas Rcc Savings And Loan Trust Fund,LA,,,,loan fund
884282387,Noir Lending Cdfi Inc,KY,S30,Y,,CDFI
884417477,Optus Community Capital,SC,S30,Y,,community capital
901004528,Green County Band Boosters,KY,N11,,,green bank
901249297,Bdc Community Capital Corp,MA,S20,,2024,community capital
910832600,Bainbridge Student Loan Fund,WA,,,2010,loan fund
911104215,Margueryte And Bern Mercer Scholarship And Loan Fund,WA,,,2019,loan fund
911639209,Ncw Business Loan Fund,WA,,,2018,loan fund
911873074,Microcredit Loan Fund Inc,CA,S31,Y,2023,loan fund
911951777,Working Solutions Cdfi,CA,P800,,2023,CDFI
920006605,Cordova District Fishermen United Cdfu,AK,,,2024,CDFI
920035037,Cordova District Fishermen United Cdfu,AK,,,2009,CDFI
920295563,Capital Region Community Media Inc,VT,A33,,2023,community capital
920388785,Missouri Green Banc,MO,C35,,2023,green bank
921162826,Greene County Community Band Inc,IN,A68,,,green bank
921312690,Munfordville Amish Loan Fund,KY,X99,,,loan fund
921762187,Magic Capital Community Theater & Arts,MI,A60,,,community capital
921837200,Cdfi Friendly Fort Worth,TX,S20,,,CDFI
922468765,Cdfi Friendly Tulsa Inc,OK,W99,,,CDFI
923039687,Pakini Loan Fund,HI,S30,Y,,loan fund
930677588,North Bend Student Loan Fund,OR,,,2017,loan fund
931009470,Capital Community Television Inc,OR,A32Z,,2024,community capital
932153074,Green Banks Eastern Conservancy,NC,C34,,,green bank
932203679,Capital Region Community Investments Inc,MI,L20,Y,,community capital
932898131,Envision Community Capital,NM,S12,,,community capital
933775034,Clare Amish Loan Fund,MI,P11,,,loan fund
933840960,Michigan Cdfi Coalition,MI,S31,Y,,CDFI
934965544,Cdfi Friendly Evansville Region Inc,IN,S30,Y,,CDFI
936017158,Ben Selling Scholarship Loan Fund,MO,,,2024,loan fund
936020672,Jenkins Student Loan Fund,WI,,,2024,loan fund
936032331,Coos Bay Student Loan Fund Inc,OR,,,2024,loan fund
936036227,Coquille Student Loan Fund Inc,OR,,,2023,loan fund
936041499,P A & Marie B Loar Student Loan Fund,NV,,,2019,loan fund
936091422,Bartholomew Family Scholarship And Loan Fund,TX,,,2023,loan fund
936091423,Lyle P Bartholomew Scholarship And Loan Fund,TX,,,2023,loan fund
936155856,John Lamar Cooper Scholarship Loan Fund,WI,,,2025,loan fund
941201196,Community Link Capital Region,CA,P00A,,2023,community capital
941724203,Student Education Loan Fund Of Livermore,CA,B90,,,loan fund
942741608,Mountain West Small Business Finance,UT,,,2024,development finance
943032394,Community Vision Capital & Consulting,CA,S200,,2023,community capital
943099401,Merritt Community Capital Corp,CA,L99Z,,2023,community capital
943308385,Community Development Finance,CA,S20,,2023,development finance
943361992,Cdf Land Llc A Georgia Llc,CA,X99,,,CDFI
943398998,Community Housing Capital Inc,GA,L12,,2024,community capital
943436183,Butler County Memorial Hospital Nurses Alumnae Association,PA,,,2022,loan fund
946083198,Ensin Joseph Sherwood Mayo Loan Fund,WA,B82Z,,2024,loan fund
946109113,San Joaquin Medical Society Scholarship Loan Fund,CA,,,2025,loan fund
953457563,Foursquare Financial Solutions Loan Fund Inc,CA,,,2011,loan fund
953685889,Springboard Cdfi,CA,L80,Y,2023,CDFI
954194650,Richard Heyser Scholarship Loan Fund Inc,CA,,,2022,loan fund
954738172,Telacu Community Capital,CA,S31,Y,2021,community capital
954769403,Housing & Finance Agency Corporation,CA,L20,Y,2009,housing finance; housing finance agency
980041406,The Italian Student Loan Fund Corp,,Q220,,2024,loan fund
990692128,Washington State Green Bank,WA,C35,,,green bank
990944782,Capital Region Community Resource Inc,NY,T31,,,community capital
991345025,Mhic State Tax Credit Loan Fund Inc,MA,L20,Y,,loan fund
991439461,Minnesota Cdfi Coalition,MN,S99,,2024,CDFI
991896147,Capitol Reef Community Open Mic,UT,A60,,,community capital
992695071,Cedar Falls Housing Trust Fund,IA,L12,,,housing trust fund
993212576,Slate Capital Community Enrichment Programs,NY,P60,,,community capital
993502057,Southwest Minnesota Community Capital,MN,S99,,,community capital
994258898,Texas Homes Community Development Financial Institution,TX,S31,Y,2024,community development financial institution
994843152,Al Baqi Community Services Of The Ny Capital District Inc,NY,P20,,,community capital
994880050,Isuroon Community Capital,MN,S31,Y,,community capital
